Energy(MeV),Theta(deg),Phi(deg)
0,20.6969,33.6889
0,91.1336,-117.6
0,68.0918,125.636
0.0689946,87.0805,139.673
0,127.532,161.55
0,98.6411,-48.5319
0,75.6026,-147.681
0,39.1915,103.511
0,129.052,68.1776
0.0224349,56.4234,157.738
0,118.664,86.7049
0.82247,48.9742,101.809
0,32.463,-22.1824
0,27.8274,-120.885
0,109.451,73.5117
0.171067,137.444,-153.962
0,17.8604,-46.8124
0,52.055,147.432
0,122.101,174.256
0,127.25,120.774
0,122.547,-20.9931
0,154.283,-83.8281
0,59.2172,-104.732
0,151.361,119.234
0,51.7242,-111.87
0,79.4823,-45.5288
0,63.7551,177.881
0,133.187,-24.3528
0,100.372,129.555
0,61.5946,-96.6855
0,119.729,-111.485
0,101.08,-97.3734
0,20.029,-158.287
0.0836831,84.8712,57.5292
0,101.722,-86.5615
0,158.335,110.099
0,19.0913,-178.872
0,148.773,35.1619
0,96.0179,-172.917
0,18.8858,4.82341
0.0460837,62.9853,-119.696
0,49.5216,-147.513
0,35.0881,152.076
0,72.034,59.023
0,30.7405,-50.2829
0,25.2956,170.279
0,103.395,-92.767
0,54.6571,-63.5768
0,71.5456,38.2732
0,121.202,88.9465
0,97.9444,59.2666
0,77.0974,-126.229
0,106.156,48.3333
0,114.159,-18.5492
0.0290568,74.6902,-42.9744
0,155.427,-99.7582
0.495824,149.436,-132.98
0,106.299,-46.9388
0,130.609,-89.0278
0,81.9351,53.3916
0,104.503,91.5955
0.0927457,100.899,102.957
0,102.003,96.0179
0.44734,144.481,12.0077
0,94.3718,-0.256842
0.249673,46.9818,14.0739
0,111.942,46.0572
0,50.9539,118.479
0,20.1491,-2.76646
0.2038,65.515,21.3334
1.06057,132.2,-37.4376
1.15877,107.956,-25.0137
0,117.061,-86.1849
0.0922452,134.13,-147.155
0,123.785,102.954
0,25.1828,-173.443
0,16.1177,-29.823
0,82.4606,-81.0509
0,148.035,-170.406
0,145.839,19.1046
0,3.91979,100.918
0.119286,62.6072,-16.7393
141.191,80.6456,154.112
0,73.7485,143.803
0,146.255,132.495
0.128034,74.5618,-9.30393
1.24542,170.06,-72.4404
0,162.619,-44.6654
0,160.35,42.7272
0.0621148,134.049,33.8788
2.05282,115.239,88.1922
2.96726,156.635,61.4181
0,81.8464,114.111
0.17058,110.889,-96.6577
0,49.6542,-113.726
0,88.2764,-66.9495
0.189657,135.222,29.871
5.52868,114.853,-82.4865
5.49844,149.496,-10.5417
0,137.357,-142.804
0,97.4648,-82.2411
0.0420347,62.4366,-124.731
0,44.6239,-36.4818
0,113.483,125.743
0.0645069,17.1792,-2.97886
7.64479,136.167,12.8936
0,77.0282,82.4177
0.308367,118.356,-97.0548
0.87585,148.802,96.7353
1.4189,146.465,122.382
17.637,123.643,-95.0448
0,61.5999,155.125
0,90.0802,-0.555983
0,107.102,163.335
0.327939,56.3402,-44.5273
0,55.0138,51.7874
0.15739,117.483,104.892
0,16.6932,46.0916
0.0909269,47.3236,162.927
0,145.947,21.3897
0,37.921,145.313
0,4.36114,39.0235
0.0694879,128.07,-82.3452
0,111.567,109.085
0.35128,109.797,-47.0082
0,90.3057,123.196
0.408437,40.0533,68.7805
0,104.577,-113.75
0.30887,83.367,4.09045
0,88.6892,145.821
0,61.373,105.12
0.142325,78.8463,151.479
0,102.699,28.8378
0,6.22224,-62.6806
0,89.9572,-22.5548
0.255695,110.879,25.8142
0.864767,95.7564,158.437
0,87.0975,70.2865
0.0889088,141.255,-59.7041
0,77.2826,131.817
0,121.228,-2.42779
0,60.4656,125.888
0,116.204,-70.031
0.127222,98.105,88.3005
0,93.3926,3.87934
0,89.1875,167.229
0,160.664,-103.187
0.411392,93.6905,-95.9187
1.95509,162.353,144.048
2.56888,91.4096,153.964
0,65.797,179.107
0.0712349,55.8486,130.349
3.846,78.1287,18.844
0,10.3031,139.713
0,31.6721,23.6649
0,32.8497,56.6553
0.0930587,75.2828,-63.8745
0,128.63,125.903
0,113.296,-32.729
0.0186986,22.2904,108.377
0,32.5072,-66.9801
0.0662285,48.9917,-36.1769
0,58.0703,-73.9235
0.242164,84.465,92.9996
1.62201,86.7975,-36.7954
14.2413,91.227,73.6534
0,109.007,-137.613
0,85.4938,-51.0553
0.0113398,80.8878,-142.046
0,140.175,-137.805
0.364619,53.7443,-125.817
0,129.511,-5.43881
0.0856789,85.5115,40.1456
91.0603,67.7739,-51.9099
0,52.6548,59.4475
0.0725803,111.849,-41.1277
0,43.5026,-133.537
0.0268986,121.998,-6.03517
0,88.7246,108.688
0,123.269,68.0954
0.106751,144.303,99.9434
0,63.3179,-158.068
0.0453101,114.031,-65.8458
0,96.493,-178.787
0.155601,111.52,-135.704
0,61.3477,-103.435
0,126.664,106.81
0.0554395,142.133,-48.8288
2.73305,114.842,-179.159
0,96.211,115.466
0,109.097,-40.7136
3.31857,107.967,-111.369
0,46.4917,-1.11607
0.117571,79.5592,59.7859
3.70285,56.4056,-4.77921
4.00477,157.792,-98.0666
0,138.063,50.1832
1.11019,165.394,-48.9019
0,66.6121,-11.9696
0,69.5757,-128.285
0.386745,149.426,175.71
13.2601,132.083,-38.6267
21.5099,124.4,-157.334
0,18.1767,123.426
0,80.6151,166.735
0.143607,64.9794,-168.849
0,75.0393,179.217
0,62.1957,-4.9766
0.227662,118.86,118.778
