Energy(MeV),Theta(deg),Phi(deg)
103.5,37.5888,111.664
0,12.7277,-107.084
0,17.5416,-65.3082
0.752587,106.604,-138.608
0,154.353,-34.9774
0,101.722,-68.0735
0.0280335,67.4752,-79.8671
0,71.5704,122.846
0,44.3966,152.089
0.13043,65.8232,143.674
0,121.562,43.8274
0,61.5949,140.101
0.0870127,103.631,-124.515
0,77.6946,177.857
0,86.5349,71.354
0.084917,57.3784,117.583
0,74.3249,126.337
0.424943,107.801,163.541
0,99.7553,66.7004
0.380328,82.5162,26.519
0,56.1024,-49.041
0,110.676,55.8966
0.0903705,66.5839,43.794
0,7.49304,166.587
0,161.439,170.853
0.341568,97.0551,22.7865
0,105.373,137.58
0.229267,111,-169.953
0,106.955,-140.578
0,45.1228,85.2019
0.0851852,154.584,143.719
0,99.1427,-171.724
1.8155,122.129,159.43
0,77.4648,-112.242
2.01747,155.152,-43.379
0,60.8016,116.358
1.07578,63.1115,135.385
0,115.801,30.7591
0.259154,39.5662,68.7179
0,56.6919,156.554
0.426756,115.595,98.5409
0,72.698,59.4473
0,62.0041,-99.9852
0,74.055,-84.8544
0,61.7027,-113.181
0,53.9816,108.215
0,11.2717,-129.73
0,55.6893,11.7578
0,92.9385,82.8336
0.113105,79.6052,-2.67693
0,109.414,70.1434
0,24.3664,88.6073
0,85.3297,125.406
0.0668658,69.3387,134.447
0,128.604,-148.298
0,99.391,70.1941
0,151.414,115.761
0,45.8915,-9.14026
0.355586,89.3574,116.36
0,92.7076,178.723
0,45.3022,-133.628
0.104148,84.2242,175.179
0,77.4964,77.1812
0,18.8302,179.702
0.271989,48.8299,92.1896
0,21.5589,-24.9424
0,126.341,48.1151
0,111.088,-65.6517
0,68.6418,-167.677
0,67.0518,-28.1931
0.269273,108.86,-132.491
0,173.758,-43.176
0.349264,115.309,101.505
1.16674,83.3086,-143.73
2.7538,63.1693,-139.108
5.705,123.669,-144.795
8.24196,118.807,-77.2645
0.665491,54.7111,-117.16
0,131.021,-10.0129
0,157.62,-159.482
0.0800342,72.2849,-156.33
0,127.071,150.703
0.502966,46.2862,124.062
0,59.4284,-79.1857
0.0584018,59.4203,55.8908
0,140.543,98.235
0.707808,132.213,68.9386
0,161.02,72.8592
0.0670729,85.7626,-46.2737
0,95.3803,9.72374
0,97.6636,-50.2773
0.173958,129.215,103.95
0,121.383,-25.0765
0.36894,87.1416,11.555
0,72.1012,75.474
0,90.2783,-29.5363
0,134.383,-8.67291
0.061819,117.428,135.838
0,161.594,176.009
0.135872,83.8209,-177.444
0,76.7881,74.4083
0.141009,87.9986,-127.275
0,14.187,-123.623
0,36.7886,140.951
0,101.853,47.1755
0,49.4381,172.358
0.103487,124.219,-135.033
0,141.407,176.766
0,81.4609,54.4054
0.02293,139.203,-34.3992
0,14.2416,130.216
0.148275,124.024,130.465
0,79.7327,-31.4581
1.13296,91.0241,-15.9242
0,136.286,156.205
0.374651,78.0741,100.604
0,39.6663,26.5015
0,77.0147,-165.599
0,155.453,127.708
0,79.5129,137.253
0,37.7811,-132.649
0.0457701,116.001,70.0403
0,114.905,77.5716
0,35.36,102.457
0,30.6306,-58.5074
0.490129,145.325,-13.3236
0,51.9885,98.6858
0,141.024,146.115
0,110.258,-134.891
0.0545486,81.8596,-5.11238
0,91.072,65.4537
0,100.55,-17.3789
0.12441,76.5966,-118.204
0,169.073,-18.5557
0,40.2932,-100.663
145.172,41.9103,-68.5577
0.28363,152.185,93.2559
0,25.5271,49.6383
0.505245,128.692,7.53043
0.991478,136.124,106.627
1.06753,117.167,-40.2816
0,138.006,-84.9343
0,64.9223,-44.7275
0.00552613,86.4731,-157.239
0,108.293,-134.07
0.55076,160.276,92.4119
1.10761,84.3906,-165.099
0,147.469,-120.699
0,57.8808,-63.1218
0,41.4499,162.354
1.9604,135.723,171.754
0,50.0348,-93.5867
0.150781,108.008,-159.88
0,86.0383,76.4741
0.262992,150.643,143.615
2.68855,115.454,-87.2345
3.12997,130.488,178.457
0,9.06622,-61.0942
0.222149,68.9139,-23.5241
0,96.5061,60.8716
0.0596285,122.906,-92.7562
0,147.498,-165.851
0,146.119,93.7483
0,104.513,-115.099
0.230238,95.9242,-125.351
0,24.1471,-151.338
0.581611,136.305,142.912
0,100.761,155.471
0.155432,116.385,-12.0531
0,65.4413,-68.1391
0,110.883,122.327
0.100616,89.1423,2.23684
0,46.9446,-31.9081
0.187979,74.733,-112.058
0,124.714,179.942
0,91.7542,-5.05437
0.248738,65.1661,-157.337
0,121.896,101.818
0,14.1237,-8.73567
0.0480953,74.2813,-47.4488
0,105.602,10.036
0.165771,100.91,-113.294
7.83284,47.8077,-66.7036
0.209184,119.4,13.1576
0,126.314,-1.50149
0,153.692,-168.732
0.145628,89.5959,-147.337
1.1137,99.9819,83.7595
0,76.1325,102.266
0.199176,101.053,87.7843
2.19481,100.338,115.775
2.59658,157.137,-16.7022
0,13.0403,-144.96
0,102.144,-29.7906
0.0684904,165.76,-3.00784
0,115.757,110.585
0.322456,52.9079,-119.504
0,90.2491,172.638
0,6.68095,138.453
0.258606,87.0189,-130.813
0,89.6024,-113.296
0.326916,106.587,1.7901
1.81875,63.2398,-84.2164
0,88.1137,-70.9588
0,58.1323,-105.103
0.0968047,109.553,-45.5556
0,112.738,-12.1132
0,127.425,-39.6178
0.167972,132.875,-99.1058
0,95.003,90.8297
0,61.8725,110.676
0,150.513,-133.374
0.0910731,152.498,-167.131
0,33.1076,-108.987
0,36.7223,-143.942
0,141.043,56.6039
0.345026,153.685,-141.791
0,112.968,-56.8561
0,102.895,-46.2504
0,90.2628,-98.4556
0,129.932,-168.099
0.0352038,81.2898,-151.231
0,72.645,-78.1184
1.38552,88.3692,-12.8136
8.33256,73.2667,-76.555
0,13.9768,-172.724
0,96.5594,-11.5414
0,152.344,74.1273
1.37532,37.0098,-121.968
0,123.636,14.7443
0,54.4251,-45.0675
0,27.1555,-130.233
0.105306,52.7764,-125.107
0,142.647,-136.901
0,146.81,-102.151
0.361568,154.923,144.317
0,82.8125,-56.4384
0,29.1479,-65.8773
0,55.31,-48.2481
0.0882165,106.117,-103.064
87.3511,66.7416,-107.114
0.0772073,46.9195,74.182
0,158.331,-155.991
0.112335,138.341,129.58
0,36.9809,81.5454
0.367627,95.9534,25.8108
0,68.488,110.369
0,120.411,97.2567
0.195229,51.0298,87.6531
0,93.0264,10.8241
0,76.8685,-25.1297
1.76898,62.5347,138.118
0,92.2288,-40.2808
0,113.394,34.0708
0.524642,68.3843,39.9558
0,116.208,100.57
0,67.3415,43.4045
0.22376,82.3934,28.651
0.132918,108.174,-83.4198
0,157.868,75.1131
0.197048,98.6868,117.217
0,78.7073,15.9014
0,82.0493,-40.8003
0.052091,78.6639,-120.504
0,108.608,38.2896
0.31815,123.297,44.9658
0,132.077,-40.9646
0,127.108,-111.427
0.0716354,72.5856,-53.2321
0,63.4603,121.864
0,30.2767,-34.8077
0.233074,54.5955,122.428
0,136.391,-161.989
0,130.052,103.725
0.0212124,78.3085,113.803
0,115.079,87.0848
0,117.372,1.42655
0,72.074,152.905
0.370029,75.6175,159.482
0,112.704,67.6022
0.257444,63.5552,34.2168
0,16.2963,-85.9144
0,71.1564,-157.157
0.927175,127.928,-49.6211
0,78.2344,-96.9973
0,42.009,98.3671
0,159.44,29.7626
0.079673,148.466,-30.9143
0,33.5588,-89.2818
0.263073,105.16,-17.7196
0,60.89,110.146
0.12716,110.103,77.3433
2.14414,149.748,99.2277
0,114.367,-20.8766
1.31164,120.527,-35.2368
2.92521,90.8006,109.947
0,146.046,-130.721
0,84.487,-145.015
0,41.012,110.795
0,109.738,-107.816
0.0820066,102.384,167.714
0,70.6801,67.6837
0.0886293,124.188,-163.506
0,76.7015,161.286
0,90.9797,0.36833
0.225148,67.5846,163.803
0,116.676,74.5907
0,114.018,129.403
0.120148,144.541,30.9777
0,78.8322,8.62679
0,102.679,-38.4947
0.566196,155.822,137.306
0,40.5322,-138.402
0,75.9025,125.708
0,25.6828,-124.811
0.14414,112.022,-124.302
0,92.6343,-164.032
0.0573067,67.8374,98.6457
0.992696,127.806,-172.577
0,16.7595,112.571
0,53.3771,161.895
0.0445842,131.55,-133.722
0,53.4033,172.62
0,8.76113,67.6826
0.165316,60.8174,178.017
0,89.6076,-107.663
0,41.791,136.405
0.272147,105.909,-94.0163
0,135.125,-155.997
0,62.4101,124.075
0.663776,127.349,61.7951
0.302013,133.313,-166.865
0,99.2179,152.491
0,107.371,-96.2533
0,98.5263,40.2328
0,145.719,-67.865
0,120.675,-82.7753
0,127.336,-163.825
2.72504,66.2124,35.6447
0,141.023,39.9459
0,111.482,174.099
0,53.0765,-84.4718
0,146.418,-57.3446
0.661381,109.754,-103.901
0,89.898,-149.304
0.54371,68.9555,129.757
0,19.0074,-61.1104
0.0932803,111.953,58.0832
0,57.858,18
0.0477568,127.386,-10.5897
0,112.922,129.53
0.193253,131.23,-56.4503
0,102.081,-7.86318
0,151.277,77.6313
0,135.393,5.6215
0,34.8735,112.551
0.0959604,98.5887,30.6224
0,70.4076,119.669
0.0974283,117.517,164.028
0,52.4629,-86.5107
0.246182,86.5946,-69.1774
0,122.615,-107.638
0,62.8362,-70.6181
0.121636,95.4905,-101.735
0,97.369,-66.9215
0,114.32,102.964
0.0959117,108.403,96.9764
0,131.422,-99.7874
0.607831,144.706,-131.208
3.49259,41.6083,19.7464
0,58.769,-170.319
0,143.192,104.629
0,107.337,21.7027
0.0345868,100.817,140.991
4.40007,43.7117,108.485
0,169.346,134.998
0,127.449,52.6884
0,79.7753,-135.304
0,66.8999,-94.4881
0,111.652,65.712
0,76.6464,127.843
0.180119,64.7703,132.918
0,58.2162,-138.092
0.544179,81.9855,136.695
0,150.579,-64.3269
0,134.865,-74.5359
0.0170834,83.4878,120.601
0,59.9003,133.538
0,128.061,-2.89007
0.150995,162.838,127.879
0,64.3915,32.1161
0.115979,88.5551,29.1936
0,50.8263,-176.54
0.32989,99.8217,-123.747
0,13.1449,3.08957
0,106.46,-151.343
0,49.7027,-72.2138
0,74.7121,-69.6108
0.173139,44.2851,32.7975
18.8885,57.4331,-86.8619
0,69.1443,-11.7041
0,46.4686,179.108
0,130.593,63.1901
72.6235,60.6414,53.1624
0,87.5947,-19.2449
0,126.792,-0.0358536
0,63.2759,-160.602
0,124.865,121.484
0,56.0208,-13.4586
0,124.221,120.834
0,155.675,32.3919
0.186808,65.4065,30.473
0,174.161,83.4576
0,62.4995,8.25648
0,96.8076,-110.984
0.227946,88.8181,-26.9619
0,33.1905,9.29271
0.060628,141.343,20.1187
0,81.1277,93.6649
0.83435,110.992,129.635
0,27.1179,-152.293
0,147.661,2.86669
0.275024,134.967,-32.3868
0,111.942,126.916
0,46.3831,148.099
0.134973,97.7064,-158.462
4.15961,90.6499,-59.2759
0,24.2905,-47.1355
0,138.12,-137.108
0.0603334,105.877,-77.7779
0,78.8958,-118.837
0.082913,106.547,-136.51
3.21158,146.671,103.184
0,7.63147,72.5321
0.0235132,112.598,-21.8718
0.969024,28.7519,-151.177
0,54.4535,179.269
1.04387,128.667,75.5438
0,137.919,58.9619
0.29473,171.911,21.8126
0,84.3484,50.3729
0.173356,133.188,168.562
0,93.2705,132.55
0,138.533,33.3913
0.0917001,127.083,-170.701
0,39.0074,42.0038
1.26223,61.7095,40.6179
4.19298,86.4623,-21.3343
0,169.51,-71.1625
0,52.8722,-170.206
0.122423,103.8,132.455
0,46.0996,85.0193
0,25.7558,-35.3566
0,46.0848,3.87365
0,166.47,-135.266
0.062497,114.082,-176.669
0,74.5186,-4.48581
0,47.702,-152.275
0.0940259,120.396,118.459
0,36.2579,-58.7953
0,115.335,-157.345
0.0609264,124.534,-134.766
0,143.408,51.9447
0.104171,133.4,-6.55999
0,151.123,144.961
0,33.5277,-40.3602
0,99.347,-35.7099
0,156.139,-175.861
0.437001,150.112,83.2694
0,117.62,35.6346
0.688382,170.78,164.114
0,123.139,-170.732
0.0801761,118.139,138.52
0,26.5634,-40.0703
0,27.7502,71.5312
0,142.242,18.4072
0.483111,157.365,-53.538
0,170.356,47.791
0,73.3193,101.108
0.127369,110.949,170.462
0,45.5426,119.961
0,108.846,-89.6504
0.0956489,142.925,-31.001
0,88.0469,-144.29
0,67.9846,-23.2212
0.301615,30.9608,-128.02
27.3908,56.8025,163.963
0,24.1642,58.4266
0,54.9527,-143.805
0.0173915,91.1509,46.2214
0.682728,97.0464,127.192
1.38871,69.1139,114.363
0,77.4402,-73.1912
0,98.2808,-105.585
1.61083,77.242,-48.564
1.84218,118.473,136.573
1.76631,32.7399,68.7351
0,22.4099,47.3829
0.508547,115.108,79.0413
2.8131,139.361,38.7067
0,118.847,-3.06798
0.14173,43.725,103.817
0,90.033,-20.5865
0,81.0238,-142.2
0,61.8042,-165.28
0,38.2437,55.3062
3.12919,86.4638,56.8842
4.18156,97.6989,20.3399
0,157.107,-113.634
0,63.8512,2.07103
0.149596,73.4538,60.6937
0,108.01,50.8535
0.453122,104.767,-21.5908
0,35.3396,-51.5718
0,49.3376,-94.3591
0,95.2217,15.9706
0,115.773,42.6382
0,158.662,-173.149
0.0445098,60.4229,-9.04229
15.2059,101.968,-58.9576
0,13.6113,-38.4191
0,123.415,-43.2016
0,141.031,82.2239
0,119.043,61.2364
0,16.1235,-141.359
1.32327,103.487,-17.5278
0,82.6973,30.5871
0.195664,41.5635,26.7513
3.70956,58.6065,32.7708
0.151914,142.58,-147.704
0,108.33,110.131
0,164.887,-92.8586
0.0898823,94.3388,32.4901
1.32418,59.024,64.9092
0,115.278,-131.103
0.241187,48.3268,-164.747
0,120.875,154.215
0,83.0123,-111.14
0,79.8165,118.787
0,29.8708,-41.9139
0.0257619,42.3598,51.3504
3.40688,91.3207,-108.439
0,71.0058,-145.512
0.801399,68.2291,172.321
0,78.3395,125.982
0,34.2436,-147.881
0.0593631,139.825,134.159
0,75.7189,167.238
1.65894,106.358,-155.893
0,83.1403,-98.1546
0.0906357,66.2148,75.5609
0,131.872,131.858
0.104733,160.298,63.2588
1.07303,150.395,136.921
0,89.9719,116.752
0.0727397,170.953,-96.6716
0,131.712,-5.41637
0.425159,127.726,-46.9647
0,85.3364,-48.3694
0.25116,137.969,63.5623
0,92.0337,-100.06
0,55.0498,-27.1498
0.0814242,92.1736,166.11
0,105.876,101.592
0,58.2789,-100.244
0.0800022,138.144,121.355
0,98.3359,52.2623
0,163.801,37.2887
0.0998449,132.824,8.87248
0,111.163,-103.224
0,102.196,-94.1708
0.330658,98.435,-118.065
0,50.0351,139.129
0,123.114,126.636
0,77.5762,7.26192
0,93.1928,-89.768
0,79.9852,141.267
0.189622,74.2672,121.829
0,13.4923,-127.389
0,66.4654,19.1085
0,125.129,-127.698
0,30.1105,38.2188
0.0959344,137.557,33.6021
0,17.9144,-134.003
0.0548231,67.3671,-92.8935
0,86.5243,143.977
0.154806,77.6701,63.7086
11.2165,42.771,11.2513
0,108.068,-158.661
0,122.192,116.568
0,109.228,-5.74499
0,55.1691,-130.804
0,74.6445,-50.5103
0,36.6882,-137.369
0.182186,36.1623,-110.797
0,58.2892,100.402
0.308642,167.194,-130.665
3.00457,146.555,-175.469
0,113.771,73.1755
0.783115,64.8438,4.76891
0,123.834,57.958
0,139.314,-57.0379
0.0279567,116.5,34.3546
0,81.989,160.466
0.689185,124.485,18.4103
2.47503,153.747,76.2748
0,65.0625,143.459
0.0661585,155.448,127.83
2.97521,57.3212,151.38
4.29263,90.1957,47.6938
0,121.684,-74.5299
0.0995248,47.3086,-142.697
0,15.9765,-51.4654
0,69.0081,-5.81744
0.158502,38.2454,-175.183
0,118.939,3.44174
0.189809,42.0205,-136.31
0,131.484,15.8175
0,144.746,-29.5277
0.0669135,149.016,-69.2105
0,110.128,15.8787
0,49.9273,-11.9176
0.148559,21.5968,25.8106
0,60.8477,-136.399
0,111.259,80.5955
0,64.3043,-35.768
0,62.0057,-134.298
0,148.74,-178.256
0.0096221,102.538,5.24451
0,5.53886,87.3603
0,54.808,161.509
0,51.8223,140.086
0.0702459,86.9461,122.773
0,125.007,-164.881
0,37.5419,-174.624
0.14966,154.908,-116.02
0,30.443,11.867
0.536674,123.621,101.04
0,120.835,-17.683
0,55.6335,72.7353
0.0619548,106.084,97.7942
2.38204,97.8634,-147.645
0,81.355,48.0413
0,135.718,110.801
0.0878969,71.9159,96.0263
0,127.449,83.463
0.311098,87.629,-41.7679
0,109.481,56.7481
0.0430253,146.659,146.843
0,96.2082,12.1573
0,28.7703,64.027
0.201563,120.903,-19.256
0,112.499,-132.175
0.136927,117.939,169.923
0,109.366,-77.7855
0.271584,68.3773,28.1417
2.93072,108.507,3.15795
5.57528,124.503,52.8793
0,116.611,-87.135
0,41.6986,64.6686
0.125102,54.0076,-56.2099
0.267107,128.02,10.2125
0.631229,108.695,-76.2489
0,91.7862,-89.2913
0.126464,94.0488,113.719
0,133.437,62.1846
0,73.6967,-139.972
0.112037,100.355,82.3453
0,51.6187,28.1434
0,109.947,-168.93
0,134.105,-130.41
0,59.1055,-36.0256
0.0850584,135.172,7.63857
0,74.4264,7.08934
0,4.4923,67.5474
0.0548137,132.47,49.6169
0,112.815,49.076
0,72.608,72.8983
0,147.932,-126.557
0,47.0464,57.6873
0,81.9935,-84.9923
0,92.7808,126.59
0,118.089,115.087
0.684679,119.383,36.42
0,100.425,132.94
0.324165,140.846,32.0696
0,50.8242,132.197
1.04108,81.2463,123.53
0,161.781,178.58
0,35.6954,-13.0172
0,176.346,46.2587
0.0724353,35.6861,-80.8845
0,114.82,108.38
0,32.7624,126.597
0.0780706,75.9799,88.9242
0,88.7811,74.2465
0.750989,153.337,39.0356
0,81.5454,131.503
1.07693,102.911,80.3758
8.2309,152.441,101.97
0.847891,44.2729,78.9056
0,132.499,-176.292
0.132571,154.177,107.362
0,121.949,59.8709
0,58.8121,-151.948
0,118.688,129.229
0,31.2472,31.4334
0,85.8738,139.732
0.78255,101.847,78.2468
0,97.2914,-5.25259
0,69.4442,64.0908
0,122.382,-122.837
0.0553882,49.239,87.5576
1.97098,157.833,-167.283
0,55.5135,-35.0544
0,113.475,8.62715
0.139551,87.0137,98.8506
2.19294,65.2847,-18.042
0,86.8975,-61.8059
0.469543,150.839,45.331
0,79.8661,-106.555
0.182196,65.6083,-115.289
0,120.279,-71.5986
0.488695,107.988,-172.179
0,11.556,-57.1056
0,121.179,-70.0884
0.100037,118.105,-48.9608
0,106.039,106.242
1.63029,55.483,87.4544
110.574,110.322,90.5519
0,100.904,92.6728
0,122.145,-98.2146
0.0925198,48.9604,-157.543
0,134.869,-119.81
0.100033,175.271,-7.41361
0,78.5483,37.8832
0.931564,72.1235,-142.379
0,90.442,-150.465
0,105.807,-96.099
0,78.0405,-35.1114
0,109.432,-124.269
7.27223,99.6987,111.08
0,57.5808,104.203
0.0428941,106.611,-58.7325
0,93.5006,115.088
0,48.2508,-84.7595
0,137.836,106.607
0,41.067,69.1291
0,84.3396,-1.11945
0.0619876,67.0523,78.8402
0,152.305,30.8826
0.54247,88.991,-148.146
0,112.669,120.175
0,72.5289,-35.6584
0,21.1531,-118.027
0.0868628,19.5425,-51.3065
0,53.7226,38.5133
0,123.643,169.225
0.226938,143.679,157.194
0,9.51978,-143.823
0,92.1349,64.757
0,112.009,28.3535
0,163.695,-67.583
0.411642,89.4134,141.7
0,120.753,-79.5451
0,96.8602,158.857
0.00832464,63.2945,-40.5235
0,109.88,151.956
0,160.652,-45.7512
0,64.7169,-92.5448
0,103.893,105.632
0,57.9487,165.473
0,159.227,144.878
0.0528443,104.403,36.3836
0,127.728,-89.1451
0,133.706,-89.7855
0,64.404,-163.433
0.00646371,140.056,-15.7433
0,73.046,-54.4916
0,125.943,115.772
0,158.89,-1.711
0,115.565,-16.5344
0,92.0362,71.9639
4.50389,113.075,-6.17554
0,97.7764,162.33
1.02112,125.239,35.0066
0,24.9527,77.8937
0,157.688,-105.9
0,86.0429,-39.3961
5.98,69.769,-66.0115
0,117.936,25.7618
0.0968527,123.829,-57.4988
1.12343,53.5283,100.747
0,44.8132,51.4246
0.186848,89.2064,-157.18
0,59.0308,59.9988
0,72.4617,-52.657
0,56.04,-23.9731
0,138.103,-41.3041
0,95.6868,-39.459
0,122.135,154.011
0,147.1,-171.822
0,22.3163,-68.909
0,118.333,-79.0158
0.195856,87.0514,-178.023
0,92.2083,74.3673
0,51.6097,-55.3293
0.208302,102.185,-72.0248
0,68.811,75.6219
0,45.7768,111.469
0,14.3843,167.848
0.0444825,93.5031,136.582
0,103.818,-68.8749
0.497067,115.156,-93.7214
0,73.3989,-2.45826
0.81019,80.0673,-145.639
0,79.6411,-77.6733
0,62.6201,73.2871
0.0646879,35.4337,114.429
89.4742,52.1528,-136.457
0.0416258,56.0425,109.175
0.812948,135.157,152.893
0.905846,139.418,-136.107
0,31.7099,-45.2111
0,59.4834,-37.7771
0,129.63,172.42
0,122.596,148.969
0.0165461,130.001,-150.955
0,144.491,16.5023
0,70.6076,-61.6979
0,80.5912,123.656
0,115.325,-88.0339
0.0325389,153.024,115.047
0,32.8199,-122.67
0,141.415,-39.095
0,68.9858,-127.246
5.38394,119.429,100.671
0,43.2576,79.7168
0,139.999,77.8085
0,101.14,-20.5526
0,116.694,170.698
0,25.3446,173.991
0,134.145,168.507
0.137549,136.989,49.906
0,107.069,-122.96
0,155.761,-161.666
0,167.157,-164.298
0.139263,116.967,-37.9614
0,93.4788,-169.287
1.48413,172.078,-43.3517
0,79.0986,122.059
0.114106,151.627,-165.094
0,83.9921,-147.778
0,154.288,-34.9071
0.935119,121.05,-132.12
6.79933,134.055,-0.101083
8.56873,143.902,-2.70829
9.34241,72.0575,85.1288
0,117.623,-112.428
0,124.467,-64.7048
0,83.4384,114.336
0.0598213,92.9004,17.3343
0,145.566,-115.798
0,41.519,134.157
0.0176794,69.0241,-156.999
0,117.437,-114.026
0,63.4885,84.7678
0,133.611,133.295
0,61.2103,-33.8739
0,138.51,-137.247
0,43.4739,48.2783
0,72.3019,-97.8382
0.432215,90.5977,111.188
0,82.8146,41.9501
0.90478,96.4772,67.2089
0,171.902,-70.0938
0,146.915,-86.7114
0.21946,89.8129,-153.188
0,94.0324,87.4132
0.276972,128.205,-31.2578
3.45439,100.798,49.6931
3.47739,48.0574,20.7928
0,79.7478,131.527
0.105541,120.18,-74.5632
0,96.0712,-65.6093
1.19219,131.87,-122.507
0,66.0456,-152.421
0.0642957,121.835,116.769
0,49.3785,-98.5336
0,59.9432,98.4442
0,17.2108,-179.938
0.0744483,28.5804,113.556
0.99347,83.3663,137.719
0.98132,107.103,50.4448
0,63.4347,39.211
0,22.7283,-111.923
0,157.262,28.0008
0,78.375,-137.271
0.0934753,103.602,125.334
0,28.5071,157.69
0,136.225,5.6095
0.0901549,98.6564,114.934
0,148.686,-23.6365
0.359589,176.088,118.517
0.935842,64.0208,-15.0691
0.265291,69.3415,-29.5024
0,73.9012,-42.4099
0.0248191,157.618,58.9396
0,151.219,71.0288
0,41.4741,-39.1607
0,42.1011,160.06
0,137.929,61.7667
0,96.5814,45.8085
0.288454,146.33,171.062
0,156.103,-119.247
0.0300478,61.6279,172.208
2.58156,174.335,-66.608
0,34.9362,-69.1349
0,105.61,35.1316
0.282389,114.633,124.837
0,36.0941,-25.8795
0,63.1898,91.5878
0.0835725,125.62,-67.0484
4.14924,107.343,-125.64
0,153.293,132.999
0,118.737,123.376
0,38.9255,130.295
0.102921,78.8309,85.1271
0,62.379,61.0908
0,178.314,51.2296
0,48.8055,154.76
11.8818,123.85,133.761
27.8046,165.624,-16.4918
0,63.9933,-14.416
0,171.431,-2.46593
0.0782018,135.682,78.131
0,157.121,-18.3961
0,94.3176,-7.97778
0.184602,136.386,13.5808
0,116.49,50.0963
0,165.536,162.427
0.0971107,140.774,21.6952
0,27.9386,-38.8474
0,174.464,-117.884
0,99.5321,-53.5948
0.618225,48.1178,-100.892
0,68.0314,-9.9314
0,86.684,-105.993
0.0529349,151.512,159.633
0,17.8704,-50.3333
0,49.2096,14.0397
0,82.4112,51.7516
0.094085,68.6811,-105.58
3.46127,76.6453,56.2631
0,35.8756,49.2178
0.703017,69.2019,26.9958
0,91.4087,-84.4373
0.2811,75.0305,5.9002
1.86372,92.6994,22.3893
0,30.2938,-129.286
0.0961091,86.3182,-92.3233
0,126.976,31.754
0.0853782,64.9944,-121.171
0,108.313,-55.2551
0,148.499,-77.6091
0.0489551,102.448,-83.4039
1.42427,37.8409,-89.9044
0,93.6059,-168.381
0,131.315,-171.589
0,115.484,74.5831
0.081468,38.2959,139.732
0,72.7245,-135.874
0.407625,62.7969,-133.283
2.88803,112.303,-162.557
9.45378,107.052,-121.238
27.4662,38.2034,152.976
194.446,88.6607,-133.816
0,123.16,-94.0369
0,139.839,-55.261
0.0221396,85.6668,-129.925
0,144.354,124.418
0,95.4407,111.191
0.0851149,78.6621,105.763
0,93.1395,-124.118
0.415702,76.1207,-77.5639
0,107.471,-66.8306
0,43.6437,108.196
0,103.321,-108.825
0,40.7449,53.2513
0,109.786,-152.82
0.441171,138.942,-43.9902
0,126.397,125.705
0,48.5197,-111.665
0,43.7096,-179.408
0,115.874,-7.59594
0,27.4527,24.3637
0,131.756,-149.456
0.0842571,66.2878,78.8515
0,46.4276,50.3295
0,73.8547,-60.2009
0.0675481,54.8012,-89.1375
0,80.1012,-165.292
0.102732,115.268,-139.544
0,87.4587,36.5836
0,88.9338,-128.675
0,172.308,-62.0347
0,74.0098,112.615
0,106.528,-61.8881
0.155683,65.0988,59.2567
0,122.22,167.332
0.911339,146.976,-139.356
5.47123,103.365,-154.044
0,79.4007,-162.589
0,72.7302,-46.6903
0,42.7943,-27.4362
0.159894,13.1192,-176.362
0,145.212,72.3724
0,118.648,139.022
0.650569,67.7065,93.108
0,101.745,-4.35456
0,155.21,157.346
0.0813311,124.083,-64.9898
0.710111,155.459,-25.5853
9.38409,75.134,71.0541
0,118.461,-83.6015
0,117.438,-146.818
0.219275,118.057,43.9416
0,54.6203,-116.105
0.317046,104.984,-8.10787
0,104.213,2.72227
0,43.2921,-12.9989
0.0345647,139.922,-129.017
0,118.887,43.3957
0.00878525,120.301,-24.9032
15.2533,61.6494,167.408
0,148.897,164.658
0.0444984,35.4213,-122.097
0,17.4125,108.523
0.270899,41.7353,140.67
0,78.3795,-136.906
1.39106,103.807,40.6435
0,25.0061,143.064
0.284173,100.035,66.3113
2.04581,22.9519,105.362
0,71.3507,-125.738
0,118.376,-1.80848
0.157978,76.395,86.5631
0,37.2156,3.13083
0,51.3503,56.8671
3.74009,55.2458,143.212
0,73.3587,169.874
0.481806,76.2558,85.3225
0,48.3462,168.604
0.0645359,72.311,150.498
0,109.838,169.776
0,140.356,19.7106
0,93.2672,-5.44051
0,102.497,-17.4755
0.51944,121.175,-90.6155
0,21.3514,-37.2008
0,43.8658,103.37
0.0129281,36.1059,10.5226
0,40.5696,162.978
0,94.7975,-145.903
0.291403,41.1178,-98.5158
8.7157,137.731,63.6459
19.2078,143.674,167.102
23.0967,49.8987,54.6324
57.0224,72.8767,34.899
70.3658,26.7265,84.025
78.8583,69.9221,166.53
0,127.991,-139.233
0.19258,94.1599,155.701
0,74.3886,121.301
0.0559863,110.501,-71.918
0,124.009,37.1582
0.0684539,102.891,-178.633
0,148.095,29.7781
0,123.33,-128.201
0,8.2392,92.457
0,18.2561,-150.455
0.060892,125.304,-171.714
0,96.4771,-136.569
0.0904671,123.368,-24.1647
1.93843,149.714,12.4361
3.58378,136.137,-19.812
0,78.43,-19.7222
0,50.9866,-152.48
0.430737,94.2405,119.451
0,114.732,149.855
0.316894,131.009,143.112
4.09009,83.0496,154.349
0,114.812,-5.11328
0,105.909,83.4097
0.0332542,68.376,69.2928
0,152.536,-111.123
0,108.586,-29.6812
0,115.835,77.3851
